DateTime,Building P (kW) 
3/27/2020 0:00,259.4
3/27/2020 0:01,273.4
3/27/2020 0:02,272.4
3/27/2020 0:03,272.4
3/27/2020 0:04,272.4
3/27/2020 0:05,264.4
3/27/2020 0:06,258.4
3/27/2020 0:07,244.4
3/27/2020 0:08,249.4
3/27/2020 0:09,259.4
3/27/2020 0:10,244.4
3/27/2020 0:11,255.4
3/27/2020 0:12,254.4
3/27/2020 0:13,280.4
3/27/2020 0:14,277.4
3/27/2020 0:15,282.4
3/27/2020 0:16,274.4
3/27/2020 0:17,271.4
3/27/2020 0:18,258.4
3/27/2020 0:19,250.4
3/27/2020 0:20,252.4
3/27/2020 0:21,269.4
3/27/2020 0:22,268.4
3/27/2020 0:23,274.4
3/27/2020 0:24,273.4
3/27/2020 0:25,271.4
3/27/2020 0:26,280.4
3/27/2020 0:27,268.4
3/27/2020 0:28,246.4
3/27/2020 0:29,251.4
3/27/2020 0:30,236.4
3/27/2020 0:31,243.4
3/27/2020 0:32,246.4
3/27/2020 0:33,280.4
3/27/2020 0:34,276.4
3/27/2020 0:35,270.4
3/27/2020 0:36,268.4
3/27/2020 0:37,275.4
3/27/2020 0:38,279.4
3/27/2020 0:39,260.4
3/27/2020 0:40,268.4
3/27/2020 0:41,251.4
3/27/2020 0:42,244.4
3/27/2020 0:43,243.4
3/27/2020 0:44,237.4
3/27/2020 0:45,236.4
3/27/2020 0:46,234.4
3/27/2020 0:47,261.4
3/27/2020 0:48,291.4
3/27/2020 0:49,277.4
3/27/2020 0:50,273.4
3/27/2020 0:51,263.4
3/27/2020 0:52,267.4
3/27/2020 0:53,264.4
3/27/2020 0:54,270.4
3/27/2020 0:55,271.4
3/27/2020 0:56,270.4
3/27/2020 0:57,268.4
3/27/2020 0:58,255.4
3/27/2020 0:59,249.4
3/27/2020 1:00,267.4
3/27/2020 1:01,268.4
3/27/2020 1:02,267.4
3/27/2020 1:03,275.4
3/27/2020 1:04,279.4
3/27/2020 1:05,270.4
3/27/2020 1:06,265.4
3/27/2020 1:07,265.4
3/27/2020 1:08,272.4
3/27/2020 1:09,277.2
3/27/2020 1:10,277.2
3/27/2020 1:11,281.2
3/27/2020 1:12,261.3
3/27/2020 1:13,258.4
3/27/2020 1:14,252.4
3/27/2020 1:15,239.4
3/27/2020 1:16,238.4
3/27/2020 1:17,249.4
3/27/2020 1:18,253.4
3/27/2020 1:19,251.4
3/27/2020 1:20,245.4
3/27/2020 1:21,255.4
3/27/2020 1:22,267.4
3/27/2020 1:23,288.4
3/27/2020 1:24,268.4
3/27/2020 1:25,265.4
3/27/2020 1:26,257.4
3/27/2020 1:27,261.4
3/27/2020 1:28,267.4
3/27/2020 1:29,269.4
