DateTime,Building P (kW) 
2020-03-27 00:00:00,259.4
2020-03-27 00:01:00,273.4
2020-03-27 00:02:00,272.4
2020-03-27 00:03:00,272.4
2020-03-27 00:04:00,272.4
2020-03-27 00:05:00,264.4
2020-03-27 00:06:00,258.4
2020-03-27 00:07:00,244.4
2020-03-27 00:08:00,249.4
2020-03-27 00:09:00,259.4
2020-03-27 00:10:00,244.4
2020-03-27 00:11:00,255.4
2020-03-27 00:12:00,254.4
2020-03-27 00:13:00,280.4
2020-03-27 00:14:00,277.4
2020-03-27 00:15:00,282.4
2020-03-27 00:16:00,274.4
2020-03-27 00:17:00,271.4
2020-03-27 00:18:00,258.4
2020-03-27 00:19:00,250.4
2020-03-27 00:20:00,252.4
2020-03-27 00:21:00,269.4
2020-03-27 00:22:00,268.4
2020-03-27 00:23:00,274.4
2020-03-27 00:24:00,273.4
2020-03-27 00:25:00,271.4
2020-03-27 00:26:00,280.4
2020-03-27 00:27:00,268.4
2020-03-27 00:28:00,246.4
2020-03-27 00:29:00,251.4
2020-03-27 00:30:00,236.4
2020-03-27 00:31:00,243.4
2020-03-27 00:32:00,246.4
2020-03-27 00:33:00,280.4
2020-03-27 00:34:00,276.4
2020-03-27 00:35:00,270.4
2020-03-27 00:36:00,268.4
2020-03-27 00:37:00,275.4
2020-03-27 00:38:00,279.4
2020-03-27 00:39:00,260.4
2020-03-27 00:40:00,268.4
2020-03-27 00:41:00,251.4
2020-03-27 00:42:00,244.4
2020-03-27 00:43:00,243.4
2020-03-27 00:44:00,237.4
2020-03-27 00:45:00,236.4
2020-03-27 00:46:00,234.4
2020-03-27 00:47:00,261.4
2020-03-27 00:48:00,291.4
2020-03-27 00:49:00,277.4
2020-03-27 00:50:00,273.4
2020-03-27 00:51:00,263.4
2020-03-27 00:52:00,267.4
2020-03-27 00:53:00,264.4
2020-03-27 00:54:00,270.4
2020-03-27 00:55:00,271.4
2020-03-27 00:56:00,270.4
2020-03-27 00:57:00,268.4
2020-03-27 00:58:00,255.4
2020-03-27 00:59:00,249.4
2020-03-27 01:00:00,267.4
2020-03-27 01:01:00,268.4
2020-03-27 01:02:00,267.4
2020-03-27 01:03:00,275.4
2020-03-27 01:04:00,279.4
2020-03-27 01:05:00,270.4
2020-03-27 01:06:00,265.4
2020-03-27 01:07:00,265.4
2020-03-27 01:08:00,272.4
2020-03-27 01:09:00,277.2
2020-03-27 01:10:00,277.2
2020-03-27 01:11:00,281.2
2020-03-27 01:12:00,261.3
2020-03-27 01:13:00,258.4
2020-03-27 01:14:00,252.4
2020-03-27 01:15:00,239.4
2020-03-27 01:16:00,238.4
2020-03-27 01:17:00,249.4
2020-03-27 01:18:00,253.4
2020-03-27 01:19:00,251.4
2020-03-27 01:20:00,245.4
2020-03-27 01:21:00,255.4
2020-03-27 01:22:00,267.4
2020-03-27 01:23:00,288.4
2020-03-27 01:24:00,268.4
2020-03-27 01:25:00,265.4
2020-03-27 01:26:00,257.4
2020-03-27 01:27:00,261.4
2020-03-27 01:28:00,267.4
2020-03-27 01:29:00,269.4
2020-03-27 01:30:00,284.4
2020-03-27 01:31:00,286.4
2020-03-27 01:32:00,262.4
2020-03-27 01:33:00,259.4
2020-03-27 01:34:00,280.4
2020-03-27 01:35:00,284.4
2020-03-27 01:36:00,271.4
2020-03-27 01:37:00,263.4
2020-03-27 01:38:00,265.4
2020-03-27 01:39:00,261.4
2020-03-27 01:40:00,258.4
2020-03-27 01:41:00,264.4
2020-03-27 01:42:00,271.4
2020-03-27 01:43:00,278.4
2020-03-27 01:44:00,277.4
2020-03-27 01:45:00,288.4
2020-03-27 01:46:00,277.4
2020-03-27 01:47:00,270.4
2020-03-27 01:48:00,263.4
2020-03-27 01:49:00,260.4
2020-03-27 01:50:00,263.4
2020-03-27 01:51:00,268.4
2020-03-27 01:52:00,269.4
2020-03-27 01:53:00,271.4
2020-03-27 01:54:00,267.4
2020-03-27 01:55:00,266.4
2020-03-27 01:56:00,257.4
