Time [min],Global Horizontal [W/m^2]
0,-11.06
1,-10.74
2,-10.65
3,-10.83
4,-11.0
5,-11.21
6,-11.44
7,-11.77
8,-11.93
9,-11.88
10,-11.72
11,-11.51
12,-11.36
13,-11.34
14,-11.34
15,-11.33
16,-11.15
17,-10.9
18,-10.56
19,-10.2
20,-9.92
21,-9.72
22,-9.7
23,-9.72
24,-9.69
25,-9.57
26,-9.45
27,-9.28
28,-9.14
29,-9.11
30,-8.98
31,-8.96
32,-8.96
33,-8.95
34,-8.82
35,-8.79
36,-8.91
37,-9.1
38,-9.67
39,-10.51
40,-11.29
41,-11.76
42,-11.89
43,-11.87
44,-11.76
45,-11.8
46,-11.88
47,-11.89
48,-11.9
49,-11.88
50,-11.87
51,-11.76
52,-11.7
53,-11.56
54,-11.45
55,-11.35
56,-11.3
57,-11.16
58,-11.14
59,-11.1
60,-10.93
61,-10.79
62,-10.67
63,-10.56
64,-10.42
65,-10.37
66,-10.25
67,-10.15
68,-10.06
69,-10.06
70,-10.06
71,-10.18
72,-10.14
73,-10.06
74,-9.92
75,-9.86
76,-9.75
77,-9.6
78,-9.51
79,-9.58
80,-9.65
81,-9.42
82,-9.04
83,-8.82
84,-8.89
85,-9.17
86,-9.41
87,-9.59
88,-9.69
89,-9.69
90,-9.69
91,-9.62
92,-9.75
93,-9.97
94,-10.06
95,-10.06
96,-10.06
97,-10.05
98,-9.95
99,-9.91
100,-10.05
101,-10.09
102,-10.21
103,-10.24
104,-10.29
105,-10.24
106,-10.14
107,-10.0
108,-9.79
109,-9.51
110,-9.22
111,-8.94
112,-8.7
113,-8.5
114,-8.37
115,-8.58
116,-9.0
117,-9.5
118,-9.74
119,-9.65
120,-9.41
121,-9.08
122,-8.89
123,-8.79
124,-8.8
125,-8.86
126,-9.05
127,-9.42
128,-9.57
129,-9.69
130,-9.62
131,-9.63
132,-9.88
133,-9.9
134,-9.56
135,-9.35
136,-9.32
137,-9.32
138,-9.33
139,-9.34
140,-9.33
141,-9.33
142,-9.32
143,-9.28
144,-9.32
145,-9.33
146,-9.32
147,-9.19
148,-9.06
149,-9.08
150,-9.13
151,-9.17
152,-9.18
153,-9.32
154,-9.77
155,-10.19
156,-10.31
157,-10.18
158,-10.07
159,-10.2
160,-10.44
161,-10.5
162,-10.18
163,-9.78
164,-9.43
165,-9.24
166,-9.13
167,-9.14
168,-9.25
169,-9.47
170,-9.74
171,-9.96
172,-10.08
173,-10.29
174,-10.43
175,-10.56
176,-10.52
177,-10.35
178,-10.21
179,-10.19
180,-10.08
181,-10.0
182,-10.08
183,-10.08
184,-10.05
185,-10.03
186,-10.06
187,-10.01
188,-9.84
189,-9.69
190,-9.7
191,-9.84
192,-9.9
193,-9.75
194,-9.68
195,-9.57
196,-9.48
197,-9.39
198,-9.47
199,-9.65
200,-9.85
201,-9.97
202,-10.17
203,-10.27
204,-10.29
205,-10.17
206,-9.89
207,-9.73
208,-9.92
209,-10.06
210,-9.99
211,-9.87
212,-9.96
213,-10.0
214,-9.92
215,-9.97
216,-10.18
217,-10.03
218,-9.71
219,-9.38
220,-9.03
221,-8.81
222,-8.92
223,-8.94
224,-9.13
225,-9.42
226,-9.6
227,-9.64
228,-9.69
229,-9.49
230,-9.33
231,-9.21
232,-9.18
233,-9.52
234,-9.56
235,-9.11
236,-8.85
237,-8.71
238,-9.1
239,-9.64
240,-9.87
241,-10.13
242,-10.33
243,-10.36
244,-9.94
245,-9.33
246,-9.11
247,-9.18
248,-10.05
249,-10.77
250,-10.74
251,-10.45
252,-10.08
253,-9.67
254,-9.24
255,-8.96
256,-8.72
257,-8.51
258,-8.29
259,-8.1
260,-8.1
261,-8.41
262,-8.56
263,-8.67
264,-8.61
265,-8.64
266,-9.12
267,-9.42
268,-9.46
269,-9.52
270,-9.41
271,-9.21
272,-9.03
273,-8.76
274,-8.58
275,-8.57
276,-8.81
277,-9.17
278,-9.5
279,-9.7
280,-9.64
281,-9.36
282,-9.08
283,-9.21
284,-9.4
285,-9.78
286,-10.14
287,-10.56
288,-10.73
289,-10.48
290,-10.12
291,-9.73
292,-9.5
293,-9.42
294,-9.39
295,-9.3
296,-9.4
297,-9.41
298,-9.25
299,-9.13
300,-9.28
301,-9.35
302,-9.32
303,-9.39
304,-9.17
305,-8.96
306,-8.61
307,-8.42
308,-8.33
309,-8.46
310,-8.27
311,-7.96
312,-7.71
313,-7.62
314,-7.7
315,-7.65
316,-7.54
317,-7.41
318,-7.18
319,-6.99
320,-6.95
321,-6.86
322,-6.44
323,-5.89
324,-5.26
325,-4.46
326,-3.68
327,-3.01
328,-2.29
329,-1.72
330,-1.22
331,-0.51
332,0.46
333,1.54
334,2.57
335,3.35
336,4.0
337,4.88
338,5.73
339,6.78
340,7.99
341,9.14
342,10.21
343,11.35
344,12.79
345,14.32
346,15.62
347,16.87
348,18.07
349,19.38
350,20.99
351,22.65
352,24.03
353,25.42
354,26.99
355,28.46
356,29.92
357,31.35
358,32.62
359,34.18
360,35.76
361,37.31
362,38.92
363,40.49
364,42.11
365,43.63
366,45.09
367,46.79
368,48.77
369,50.82
370,52.68
371,54.58
372,56.51
373,58.46
374,60.33
375,62.16
376,63.9
377,65.78
378,67.86
379,69.95
380,71.99
381,73.98
382,76.18
383,78.32
