sep=,
"Time","P","Q"
2020-01-29 00:00:00,322,57.5
2020-01-29 00:05:00,257,59.7
2020-01-29 00:10:00,355,63.3
2020-01-29 00:15:00,325,45.3
2020-01-29 00:20:00,243,52.3
2020-01-29 00:25:00,335,65.0
2020-01-29 00:30:00,338,48.6
2020-01-29 00:35:00,333,50.9
2020-01-29 00:40:00,335,49.7
2020-01-29 00:45:00,333,48.0
2020-01-29 00:50:00,236,47.4
2020-01-29 00:55:00,315,55.2
2020-01-29 01:00:00,358,47.8
2020-01-29 01:05:00,298,47.1
2020-01-29 01:10:00,334,50.7
2020-01-29 01:15:00,294,46.9
2020-01-29 01:20:00,278,46.3
2020-01-29 01:25:00,311,47.1
2020-01-29 01:30:00,370,57.4
2020-01-29 01:35:00,297,48.6
2020-01-29 01:40:00,270,51.0
2020-01-29 01:45:00,371,50.7
2020-01-29 01:50:00,299,51.3
2020-01-29 01:55:00,379,51.4
2020-01-29 02:00:00,255,47.6
2020-01-29 02:05:00,278,58.9
2020-01-29 02:10:00,320,52.7
2020-01-29 02:15:00,345,49.8
2020-01-29 02:20:00,276,47.4
2020-01-29 02:25:00,280,48.9
2020-01-29 02:30:00,271,49.6
2020-01-29 02:35:00,339,66.1
2020-01-29 02:40:00,404,68.9
2020-01-29 02:45:00,399,76.5
2020-01-29 02:50:00,258,64.8
2020-01-29 02:55:00,285,61.9
2020-01-29 03:00:00,353,66.8
2020-01-29 03:05:00,293,76.6
2020-01-29 03:10:00,357,58.3
2020-01-29 03:15:00,240,51.1
2020-01-29 03:20:00,345,68.2
2020-01-29 03:25:00,306,59.4
2020-01-29 03:30:00,311,62.9
2020-01-29 03:35:00,345,64.6
2020-01-29 03:40:00,302,60.3
2020-01-29 03:45:00,337,64.1
2020-01-29 03:50:00,290,60.7
2020-01-29 03:55:00,263,54.7
2020-01-29 04:00:00,317,62.6
2020-01-29 04:05:00,343,53.2
2020-01-29 04:10:00,406,53.2
2020-01-29 04:15:00,364,69.7
2020-01-29 04:20:00,349,52.7
2020-01-29 04:25:00,405,55.7
2020-01-29 04:30:00,388,55.9
2020-01-29 04:35:00,314,64.5
2020-01-29 04:40:00,313,53.6
2020-01-29 04:45:00,304,52.9
2020-01-29 04:50:00,324,50.5
2020-01-29 04:55:00,313,53.1
2020-01-29 05:00:00,337,58.1
2020-01-29 05:05:00,423,60.5
2020-01-29 05:10:00,337,85.3
2020-01-29 05:15:00,373,67.6
2020-01-29 05:20:00,292,68.4
2020-01-29 05:25:00,364,67.9
2020-01-29 05:30:00,360,64.7
2020-01-29 05:35:00,380,70.6
2020-01-29 05:40:00,389,69.6
2020-01-29 05:45:00,329,73.2
2020-01-29 05:50:00,321,62.9
2020-01-29 05:55:00,259,65.5
2020-01-29 06:00:00,379,67.7
2020-01-29 06:05:00,380,75.9
2020-01-29 06:10:00,313,73.7
2020-01-29 06:15:00,371,73.6
2020-01-29 06:20:00,389,89.4
