Time (s),P (kW),Q (kW)
0,167.6275354,48.8787888
1,168.0765188,48.9192874
2,168.0830086,48.90831091
3,167.9699126,48.71199025
4,168.4137286,48.84540622
5,168.3976426,48.83454653
6,168.4087085,48.80217644
7,168.7410237,49.09273741
8,168.7600717,49.06163571
9,168.7425854,49.27094439
10,168.5502625,49.00830263
11,168.9911093,49.2931699
12,168.9768928,49.28545458
13,169.1616415,49.25972817
14,176.5709498,54.44021709
15,176.5673503,54.46602516
16,171.3082704,50.32365532
17,171.6051279,50.80597844
18,171.5973663,50.78625814
19,171.2426045,50.57766878
20,171.1366231,50.50056776
21,171.1128406,50.457773
22,173.6135893,52.66518501
23,173.4641567,52.50121701
24,173.4609739,52.49152272
25,173.26189,52.62080886
26,173.2554086,52.59838874
27,173.2368132,52.60864984
28,173.5913475,52.77888344
29,173.9393999,52.79456059
30,173.9462318,52.80312835
31,173.7809863,52.98157639
32,173.7983615,52.79968058
33,173.8069056,52.78195343
34,173.8961401,52.62364376
35,173.8706044,52.43453861
36,173.913175,52.44582126
37,174.4800439,52.60011243
38,170.450985,52.07330697
39,170.4622632,52.07837789
40,170.0227037,51.58340422
41,169.9864685,51.97095935
42,170.0104655,51.97884663
43,170.0927997,51.78383309
44,170.1184753,51.98917922
45,170.1058083,52.0033085
46,169.8030992,51.84609731
47,170.9474091,51.8564612
48,170.9461599,51.8681106
49,171.4113045,51.72930948
50,171.7495548,51.84832268
51,171.751617,51.87148224
52,171.7550273,51.69201042
53,171.7459786,51.96021738
54,171.7390196,51.93574702
55,172.0405023,52.17597748
56,171.7198311,51.97340937
57,171.7164611,51.97826573
58,171.7315126,52.17264886
59,171.7090362,52.00373518
60,171.7159205,51.9694416
61,172.0540983,52.24338401
62,172.0617443,52.23504089
63,172.0497695,52.25534616
64,171.898691,51.9952323
65,171.9123701,52.52011
66,171.8799995,52.47668639
67,171.7257785,52.1882417
68,171.7172714,52.26985457
69,171.7279851,52.2162317
70,171.7108128,52.23861221
71,171.9036861,52.21982699
72,171.8791341,52.23936539
73,171.8891197,52.11721456
74,177.4595649,57.98985466
75,177.4521893,58.00895963
76,175.6220859,55.38033135
77,175.207148,55.18836221
78,175.1961987,55.18140792
79,175.3121993,55.20787446
80,168.9949729,55.20866518
81,168.9900546,55.21410141
82,169.0026546,55.20530634
83,169.367855,55.34085515
84,169.3402303,55.33752379
85,169.1896634,55.31446832
86,169.4279079,55.32365407
87,169.4450607,55.31689486
88,169.5475973,55.445119
89,169.3841466,55.4306737
90,169.423233,55.44023385
91,169.5911159,55.5937106
92,169.2793994,55.25488611
93,169.2820855,55.22751808
94,170.5569683,55.54247505
95,169.8790358,55.6627608
96,169.8548342,55.63990986
97,169.7162508,55.62850976
98,169.4614591,55.41955737
99,169.4650583,55.40389266
100,169.4752495,55.64606065
101,169.466072,55.61234789
102,169.2633014,55.33384547
103,169.8760172,55.99925002
104,169.9021639,55.98080864
105,169.7210882,55.71655677
106,169.3343287,55.43682699
107,169.3425193,55.42491198
108,169.0597435,55.6413455
109,169.2234764,55.65901967
110,169.2429424,55.69930315
111,168.7599037,54.78086737
112,168.959197,54.89234131
113,168.9731811,54.92031386
114,168.9639492,55.03315423
115,168.7368037,55.0594567
116,168.7787838,55.07629092
117,168.7606692,54.87807668
118,168.5937329,55.04673669
119,168.6088037,55.03429177
120,168.4978434,55.04567327
121,168.4902556,55.07292296
122,168.4808587,55.04800409
123,169.8544583,55.12671533
124,168.8857162,55.10809339
125,168.8762214,55.13067583
126,168.8899014,55.12254784
127,168.8693109,55.43660909
128,168.8711917,55.44882556
129,168.611743,55.327529
130,166.2135522,53.95095232
131,166.2150873,53.93223519
132,166.0973803,53.82519791
133,166.1075747,53.62038999
134,166.0977856,53.59723697
135,166.1088226,54.00232047
136,165.9585825,53.82478567
137,165.9206768,53.79720693
138,166.2846686,53.80062067
139,166.2545558,53.8275744
140,166.2618691,53.81456002
141,166.0934432,53.6446032
142,166.2891002,53.77138506
143,166.2927763,53.78682769
144,165.7671213,53.96274051
145,165.7487871,53.96855305
146,165.7494513,53.99061471
147,166.0141501,53.76363753
148,166.2240454,54.06183087
149,166.2065877,53.98932274
150,165.9691255,54.22360169
151,165.84925,54.02019871
152,165.8344923,53.99576407
153,163.8323721,52.82462995
154,163.5099805,52.59858334
155,163.501763,52.60783044
156,163.274066,52.60738943
157,163.2689494,52.62349036
158,163.2562454,52.57134806
159,164.4027193,52.60784665
160,163.1314055,52.47481129
161,163.1333742,52.46798621
162,163.1303382,52.48786279
163,163.3767529,52.59030019
164,163.3901118,52.58724878
165,163.368025,52.30376813
166,163.0610849,52.53960672
167,163.0571773,52.5155375
