HOUR of YEAR,HOUR-MST,Avg Global Horizontal [W/m^2],Avg Avg Wind Speed @ 50m [m/s]
1,1,-1.2883,3.8032
2,2,-0.8218,3.7096
3,3,-0.8902,2.4968
4,4,-0.4572,3.7711
5,5,-1.6353,1.8259
6,6,-0.9115,2.4815
7,7,-0.7387,1.0171
8,8,19.1074,2.0922
9,9,110.3057,4.6892
10,10,280.2563,3.824
11,11,391.7852,3.0537
12,12,341.2622,3.5327
13,13,250.3357,3.9396
14,14,178.7213,3.5394
15,15,125.1113,1.3752
16,16,58.9222,3.1902
17,17,8.0942,3.0941
18,18,-2.1777,4.0913
19,19,-0.6666,4.4373
20,20,-1.3325,2.6267
21,21,-2.6766,2.4535
22,22,-2.3969,2.3128
23,23,0.9481,2.0124
24,0,0.1784,2.1845
25,1,1.358,3.5457
26,2,-2.6361,3.8065
27,3,-3.4481,3.3412
28,4,-2.3033,3.4403
29,5,-1.6228,2.6837
30,6,-1.4114,0.9098
31,7,-2.4308,2.1673
32,8,22.5066,2.7751
33,9,138.0715,3.2545
34,10,240.3805,4.1394
35,11,387.5648,4.9051
36,12,482.2603,4.9086
37,13,465.948,4.2544
38,14,402.3842,3.7559
39,15,291.4938,3.8099
40,16,141.0645,4.644
41,17,4.6943,3.1673
42,18,-8.0694,3.5636
43,19,-3.3017,3.5522
44,20,-1.805,4.1494
45,21,-1.0977,5.1094
46,22,-0.9907,5.8027
47,23,-3.4196,2.2245
48,0,-1.6347,2.2283
49,1,-1.5286,2.0461
50,2,-1.2118,1.2412
51,3,-0.8877,1.7186
52,4,0.398,2.4472
53,5,-0.2961,2.648
54,6,2.6231,6.2607
55,7,0.3444,7.0636
56,8,36.0286,4.5337
57,9,75.2087,4.118
58,10,133.236,2.596
59,11,157.8075,2.5552
60,12,141.3809,3.3953
61,13,287.0233,2.1307
62,14,242.8925,1.9927
63,15,77.2733,6.1672
64,16,72.5446,4.7293
65,17,9.7139,2.9675
66,18,-2.7802,4.302
67,19,-3.4865,5.3366
68,20,-1.6794,4.8312
69,21,-1.2357,4.8668
70,22,-0.7765,4.0951
71,23,-0.9049,4.1471
72,0,-2.0842,3.4695
73,1,-2.8602,2.066
74,2,-3.5566,2.2233
75,3,-1.8785,3.0823
76,4,0.014,2.0508
77,5,-0.4384,1.3288
78,6,0.0089,1.5225
79,7,-0.0274,3.5631
80,8,28.0596,3.3949
81,9,119.2386,4.2365
82,10,145.4248,6.1698
83,11,214.7162,10.3847
84,12,262.5552,7.7164
85,13,454.9728,3.8721
86,14,512.4642,3.0098
