MST,Avg Wind Speed @ 50m [m/s]
2016-12-24 00:00:00,0.93
2016-12-24 00:01:00,0.99
2016-12-24 00:02:00,0.66
2016-12-24 00:03:00,0.53
2016-12-24 00:04:00,0.85
2016-12-24 00:05:00,1.1
2016-12-24 00:06:00,0.84
2016-12-24 00:07:00,1.18
2016-12-24 00:08:00,1.12
2016-12-24 00:09:00,1.35
2016-12-24 00:10:00,1.52
2016-12-24 00:11:00,1.77
2016-12-24 00:12:00,1.39
2016-12-24 00:13:00,1.26
2016-12-24 00:14:00,0.89
2016-12-24 00:15:00,0.36
2016-12-24 00:16:00,0.37
2016-12-24 00:17:00,0.65
2016-12-24 00:18:00,0.61
2016-12-24 00:19:00,0.71
2016-12-24 00:20:00,0.66
2016-12-24 00:21:00,0.41
2016-12-24 00:22:00,0.34
2016-12-24 00:23:00,0.42
2016-12-24 00:24:00,0.93
2016-12-24 00:25:00,1.08
2016-12-24 00:26:00,1.42
2016-12-24 00:27:00,0.92
2016-12-24 00:28:00,0.76
2016-12-24 00:29:00,0.5
2016-12-24 00:30:00,1.14
2016-12-24 00:31:00,1.08
2016-12-24 00:32:00,0.85
2016-12-24 00:33:00,0.66
2016-12-24 00:34:00,0.34
2016-12-24 00:35:00,0.34
2016-12-24 00:36:00,0.34
2016-12-24 00:37:00,0.34
2016-12-24 00:38:00,0.34
2016-12-24 00:39:00,0.34
2016-12-24 00:40:00,0.34
2016-12-24 00:41:00,0.34
2016-12-24 00:42:00,0.34
2016-12-24 00:43:00,0.34
2016-12-24 00:44:00,0.34
2016-12-24 00:45:00,0.34
2016-12-24 00:46:00,0.34
2016-12-24 00:47:00,0.34
2016-12-24 00:48:00,0.34
2016-12-24 00:49:00,0.34
2016-12-24 00:50:00,0.34
2016-12-24 00:51:00,0.34
2016-12-24 00:52:00,0.34
2016-12-24 00:53:00,0.57
2016-12-24 00:54:00,0.88
2016-12-24 00:55:00,0.96
2016-12-24 00:56:00,1.12
2016-12-24 00:57:00,1.59
2016-12-24 00:58:00,1.48
2016-12-24 00:59:00,1.26
2016-12-24 01:00:00,1.04
2016-12-24 01:01:00,0.85
2016-12-24 01:02:00,1.15
2016-12-24 01:03:00,1.58
2016-12-24 01:04:00,1.8
2016-12-24 01:05:00,1.44
2016-12-24 01:06:00,1.06
2016-12-24 01:07:00,1.24
2016-12-24 01:08:00,1.28
2016-12-24 01:09:00,1.37
2016-12-24 01:10:00,2.53
2016-12-24 01:11:00,3.14
2016-12-24 01:12:00,2.75
2016-12-24 01:13:00,2.24
2016-12-24 01:14:00,2.12
2016-12-24 01:15:00,2.38
2016-12-24 01:16:00,2.63
2016-12-24 01:17:00,3.14
2016-12-24 01:18:00,3.0
2016-12-24 01:19:00,3.22
2016-12-24 01:20:00,2.67
2016-12-24 01:21:00,2.36
2016-12-24 01:22:00,2.53
2016-12-24 01:23:00,4.22
2016-12-24 01:24:00,5.07
2016-12-24 01:25:00,4.6
2016-12-24 01:26:00,5.38
2016-12-24 01:27:00,4.61
2016-12-24 01:28:00,4.54
2016-12-24 01:29:00,4.29
2016-12-24 01:30:00,3.91
2016-12-24 01:31:00,3.74
2016-12-24 01:32:00,3.31
2016-12-24 01:33:00,3.16
2016-12-24 01:34:00,3.5
2016-12-24 01:35:00,3.47
2016-12-24 01:36:00,3.01
2016-12-24 01:37:00,3.42
2016-12-24 01:38:00,3.72
2016-12-24 01:39:00,3.68
2016-12-24 01:40:00,3.42
2016-12-24 01:41:00,3.27
2016-12-24 01:42:00,2.85
2016-12-24 01:43:00,2.51
2016-12-24 01:44:00,2.29
2016-12-24 01:45:00,2.11
2016-12-24 01:46:00,2.14
2016-12-24 01:47:00,2.17
2016-12-24 01:48:00,1.84
2016-12-24 01:49:00,1.54
2016-12-24 01:50:00,1.21
2016-12-24 01:51:00,1.2
2016-12-24 01:52:00,1.35
2016-12-24 01:53:00,1.5
2016-12-24 01:54:00,1.77
2016-12-24 01:55:00,1.75
2016-12-24 01:56:00,1.82
2016-12-24 01:57:00,1.85
2016-12-24 01:58:00,1.42
2016-12-24 01:59:00,0.8
2016-12-24 02:00:00,0.35
2016-12-24 02:01:00,0.35
2016-12-24 02:02:00,0.92
2016-12-24 02:03:00,1.37
2016-12-24 02:04:00,1.43
2016-12-24 02:05:00,1.14
2016-12-24 02:06:00,0.79
2016-12-24 02:07:00,0.34
2016-12-24 02:08:00,0.34
2016-12-24 02:09:00,0.34
2016-12-24 02:10:00,0.36
2016-12-24 02:11:00,0.6
2016-12-24 02:12:00,0.38
2016-12-24 02:13:00,0.34
2016-12-24 02:14:00,0.67
2016-12-24 02:15:00,0.82
2016-12-24 02:16:00,0.36
