DateTime,Building Load P (kW),
3/13/2020 0:00,335.4,
3/13/2020 0:01,321.4,
3/13/2020 0:02,295.4,
3/13/2020 0:03,276.4,
3/13/2020 0:04,268.4,
3/13/2020 0:05,274.4,
3/13/2020 0:06,282.4,
3/13/2020 0:07,274.4,
3/13/2020 0:08,287.4,
3/13/2020 0:09,306.4,
3/13/2020 0:10,326.4,
3/13/2020 0:11,326.4,
3/13/2020 0:12,312.4,
3/13/2020 0:13,311.4,
3/13/2020 0:14,316.4,
3/13/2020 0:15,312.4,
3/13/2020 0:16,310.4,
3/13/2020 0:17,303.4,
3/13/2020 0:18,316.2,
3/13/2020 0:19,324.2,
3/13/2020 0:20,331.1,
3/13/2020 0:21,318.1,
3/13/2020 0:22,307.4,
3/13/2020 0:23,309.4,
3/13/2020 0:24,325.3,
3/13/2020 0:25,330.3,
3/13/2020 0:26,332.3,
3/13/2020 0:27,326.3,
3/13/2020 0:28,305.4,
3/13/2020 0:29,308.4,
3/13/2020 0:30,291.4,
3/13/2020 0:31,308.4,
3/13/2020 0:32,304.4,
3/13/2020 0:33,299.4,
3/13/2020 0:34,298.4,
3/13/2020 0:35,296.4,
3/13/2020 0:36,314.4,
3/13/2020 0:37,329.4,
3/13/2020 0:38,315.4,
3/13/2020 0:39,290.4,
3/13/2020 0:40,291.4,
3/13/2020 0:41,314.4,
3/13/2020 0:42,315.4,
3/13/2020 0:43,303.4,
3/13/2020 0:44,302.4,
3/13/2020 0:45,301.4,
3/13/2020 0:46,298.4,
3/13/2020 0:47,303.4,
3/13/2020 0:48,315.4,
3/13/2020 0:49,334.4,
3/13/2020 0:50,345.4,
3/13/2020 0:51,347.4,
3/13/2020 0:52,351.4,
3/13/2020 0:53,345.4,
3/13/2020 0:54,316.4,
3/13/2020 0:55,299.4,
3/13/2020 0:56,297.4,
3/13/2020 0:57,301.4,
3/13/2020 0:58,313.4,
3/13/2020 0:59,324.4,
3/13/2020 1:00,327.4,
3/13/2020 1:01,339.3,
3/13/2020 1:02,351.1,
3/13/2020 1:03,337.1,
3/13/2020 1:04,322.1,
3/13/2020 1:05,307.3,
3/13/2020 1:06,293.3,
3/13/2020 1:07,299.3,
3/13/2020 1:08,303.3,
3/13/2020 1:09,311.3,
3/13/2020 1:10,316.3,
3/13/2020 1:11,313.3,
3/13/2020 1:12,323.3,
3/13/2020 1:13,324.3,
3/13/2020 1:14,311.3,
3/13/2020 1:15,292.4,
3/13/2020 1:16,274.3,
3/13/2020 1:17,282.3,
3/13/2020 1:18,296.3,
3/13/2020 1:19,303.4,
3/13/2020 1:20,291.4,
3/13/2020 1:21,283.4,
3/13/2020 1:22,280.4,
3/13/2020 1:23,277.4,
3/13/2020 1:24,295.4,
3/13/2020 1:25,311.4,
3/13/2020 1:26,311.4,
3/13/2020 1:27,310.4,
3/13/2020 1:28,299.3,
3/13/2020 1:29,301.3,
3/13/2020 1:30,282.3,
3/13/2020 1:31,280.3,
3/13/2020 1:32,301.3,
3/13/2020 1:33,317.3,
3/13/2020 1:34,326.3,
3/13/2020 1:35,344.3,
3/13/2020 1:36,366.3,
3/13/2020 1:37,380.3,
3/13/2020 1:38,347.3,
3/13/2020 1:39,334.3,
3/13/2020 1:40,311.3,
3/13/2020 1:41,295.3,
3/13/2020 1:42,293.3,
3/13/2020 1:43,303.2,
3/13/2020 1:44,310.1,
3/13/2020 1:45,296.1,
3/13/2020 1:46,286.1,
3/13/2020 1:47,294.2,
3/13/2020 1:48,312.3,
3/13/2020 1:49,312.3,
