Time,P,Q,,,
1/5/2020 0:00,472,53.5,,,
1/5/2020 0:05,222,46.6,,,
1/5/2020 0:10,233,48.3,,,
1/5/2020 0:15,225,55.6,,,
1/5/2020 0:20,288,50.5,,,
1/5/2020 0:25,287,50.4,,,
1/5/2020 0:30,254,51,,,
1/5/2020 0:35,495,59.3,,,
1/5/2020 0:40,294,53.2,,,
1/5/2020 0:45,291,52.9,,,
1/5/2020 0:50,308,51.7,,,
1/5/2020 0:55,460,55.2,,,
1/5/2020 1:00,364,53.7,,,
1/5/2020 1:05,256,50.8,,,
1/5/2020 1:10,226,52.4,,,
1/5/2020 1:15,221,53.5,,,
1/5/2020 1:20,255,51.4,,,
1/5/2020 1:25,219,50.6,,,
1/5/2020 1:30,219,53.2,,,
1/5/2020 1:35,251,56,,,
1/5/2020 1:40,260,56.3,,,
1/5/2020 1:45,250,57,,,
1/5/2020 1:50,460,53.7,,,
1/5/2020 1:55,248,48.8,,,
1/5/2020 2:00,205,57.6,,,
1/5/2020 2:05,493,64,,,
1/5/2020 2:10,230,48.8,,,
1/5/2020 2:15,381,52.3,,,
1/5/2020 2:20,280,57.8,,,
1/5/2020 2:25,230,56.4,,,
1/5/2020 2:30,230,51.2,,,
1/5/2020 2:35,214,50.4,,,
1/5/2020 2:40,254,53.1,,,
1/5/2020 2:45,251,59.8,,,
1/5/2020 2:50,288,50.6,,,
1/5/2020 2:55,368,52.5,,,
1/5/2020 3:00,213,56.5,,,
1/5/2020 3:05,218,53.4,,,
1/5/2020 3:10,527,63.5,,,
1/5/2020 3:15,226,55.7,,,
1/5/2020 3:20,249,50.2,,,
1/5/2020 3:25,491,64.4,,,
1/5/2020 3:30,219,57,,,
1/5/2020 3:35,257,64,,,
1/5/2020 3:40,364,65.9,,,
1/5/2020 3:45,278,59.2,,,
1/5/2020 3:50,457,65.9,,,
1/5/2020 3:55,218,52.7,,,
1/5/2020 4:00,368,58.4,,,
1/5/2020 4:05,260,54.8,,,
1/5/2020 4:10,328,56.1,,,
1/5/2020 4:15,348,58.9,,,
1/5/2020 4:20,357,56.8,,,
1/5/2020 4:25,357,56.3,,,
1/5/2020 4:30,279,55.9,,,
1/5/2020 4:35,318,81.1,,,
1/5/2020 4:40,360,64.6,,,
1/5/2020 4:45,299,60.4,,,
1/5/2020 4:50,339,76.7,,,
1/5/2020 4:55,336,61.8,,,
1/5/2020 5:00,337,86.4,,,
1/5/2020 5:05,318,70.3,,,
1/5/2020 5:10,318,62.9,,,
